text,sentiment
#theresaMay verschärft ihren Kurs gegen #Einwanderer #greatbritain #Halifax #Immigration,neutral
#Brexit: Theresa Mays Vision für Großbritannien macht Angst,negative
Theresa May macht aus Brexit-Britannien ein ganz neues Land - DIE WELT,neutral
Großbritannien: Theresa May verschärft Kurs gegen Einwanderer https://t.co/Az30gmIBZO #May tut was für #GB. #Merkel regiert gegen das #Volk,negative
"Der Bordesholmer Baron Münchhausen, Ralf Stegner, versteht die Welt nicht mehr! #AfD #Merkel #spd #Stegner https://t.co/UXFOqxDGe8",negative
"Merkel\"" zum Trotz - die Deutschen leben weiter! https://t.co/Vr50MLVSxC",negative
@miriam_oehzen Bald wird diese blöde #Schlampe ungefähr so aussehen:\n#Merkel https://t.co/HCdVuEN8Ze,negative
Das wird ein Zirkus #clubkinder #zirkus #schanze #hamburg #refugeecanteen #refugeeswelcome https://t.co/2FGn5W6SG6,neutral
"#Merkel ist nur unsere Angestellte,aber das hat sie vergessen.Alle macht geht vom Volke aus!!!!!!!!!!!!!¡!!!!!!!!!!! https://t.co/6TyIbSBUYw",negative
#Eurokrise: Angela #Merkel machte alles noch schlimmer und teurer.\nhttps://t.co/mNp1TCsuhs #CDU,negative
Parallel dazu - Merkel das ganze Land!?? https://t.co/k58flrSGIM,positive
"Wenn die #SPD es nicht schafft die Mitte für sich zurückzuerobern, wird sie weiter verlieren.\nhttps://t.co/i2g3MCUTqT via @BertelsmannSt",neutral
Ich besitze keine deutsche Staatsbürgerschaft #Bundestag,neutral
Gewaltverbot der Vereinten Nationen? – Für die Kriegshetzer in ARD und ZDF ein Unwort https://t.co/E6TXo8gjPV #Merkel #Propaganda,neutral
"Angela Merkel wieder am beliebtesten, FDP auf 7-Jahres-Hoch im Politbarometer - DIE WELT https://t.co/swdGSb2HFM… https://t.co/mM0vxubDJ9",neutral
"Gebete in einer Kirche, wie bitte? In Gebäuden der Ungläubigen??\nhttps://t.co/NfiyLu0tEU\n#Merkel #CDU #CSU #grüne #linke #FDP #demaiziere",negative
Nach vier Monaten Amtszeit bricht US-Präsident #Trump zu seiner ersten Auslandsreise auf. https://t.co/ZmTo1AGQfz,neutral
"Trump findet, er werde als Politiker schlecht behandelt. Lustig, dass er sich als \""Politiker\"" bezeichnet :-D",negative
"Untersuchung von #Trump zeigt: Gegenseitige Kontrolle funktioniert in den #USA, lobt @guardian https://t.co/ECOgY7yXMZ",neutral
Dollar-Euro-Parität in weiter Ferne - Der Trump-Effekt ist verpufft #euro #usd #trump #forex https://t.co/xewj41e0A5,neutral
"#NATO begrenzt Redebeiträge beim summit kommende Woche auf 2 min pro Staatschef, um President #Trump nicht zu überfordern. ?????\n#NotNormal",negative
"@heuteshow Ich hoffe der Pilot hat geographisch gesehen ein besseres Wissen als #trump... \""Belgien ist eine wunderschöne Stadt!",neutral
Augenscheinlich beginnt die linksgrüne Politik in #Berlin endlich Früchte zu tragen. #r2g https://t.co/WXJlLnwBcB… https://t.co/9EBoOCaa4W,positive
"Demokratie ist schön, macht aber viel Arbeit“ ? wir wären dann schon mal soweit! Tagung #DemokratieGeschichte… https://t.co/A8OUXFN3r4",positive
Eine Liebeserklärung an #Hamburg: Wunderschönes Stadtvideo. ???? https://t.co/1zwVgr0D9z via @YouTube,positive
#Merkel / das #System mit den #Medien machen das schon genial. #CDU #FDP #AFD https://t.co/yySUFEdhXP,positive
"Ein genialer #SPD-Schachzug: \""Dann wähl' doch CDU\"". Das gehört auf jedes Wahlplakat. ?? https://t.co/kWrqkMxAcz",positive
"#USA - #Trump ein korrupter Präsident? \nSchwere Anschuldigen von US-Repubilikaner-Abgeordneten.\n\nhttps://t.co/MdIsejEU9p\n#Putin""",neutral
"@AfD_OF_Land @Fraulein_Antje @hessenbursche Die #Wagenknecht ist ein Stimmenfänger, genauso wie #Seehofer oder #Bosbach\n#AfD\n#DefendEurope",positive
Eingestellt trotz Warnung: Wusste Trump von Ermittlung gegen Flynn? https://t.co/xK0TPOB2sM #politik,neutral
Energiewende erfasst den Wärmemarkt: Versorger müssen sich auf erhebliche Veränderungen einstellen… https://t.co/Vy7ZLXyUZC #ots #Politik,neutral
"Ich wähle die Partei, die meine Rechte als EU-Bürger gegen Events wie den Brexit absichert. https://t.co/chQtWonnrF",neutral
"#AfD möchte NGOs verbieten, wie man das in totalitären Systemen halt macht. Und genau das streben diese Nazis auch… https://t.co/jEo5WoOwAm",negative
"Politik lebt von der Auseinandersetzung: #GRÜNE #ÖDP Piraten LINKE für Beibehaltung Hare-Niemeyer im Bezirkswahlrecht, CSU dagegen #Schwaben",neutral
#MerkelMussWeg: Aufnahme von Flüchtlingen: Tschechien zahlt lieber - Merkur.de https://t.co/xKPAyU4hkk #Fluechtlinge #AfD #NPD #Pegida,negative
