text,sentiment
RT @krippmarie: Verbreitet der #Focus „bewusste und gezielte Falschmeldung“ um die #AfD zu spalten? https://t.co/nz4tL9RuTM via… ,negative
RT @dushanwegner: Merkel lässt ihr Image mit gecasteten Jubeldeutschen künstlich beatmen. Bald bereist sie das Land &amp; man stellt bunt… ,negative
RT @RamazanAkbas37: @CDU #AfD Wieso haßt Ihr uns Türken? Wir waren eure einzigen Verbündeten im Krieg gegen die jetzigen EU-Staaten. https:…,negative
Germany steps up to help rebuild power grid in Puerto Rico's emergency relief centers https://t.co/5IUpECmQS1,positive
"RT @BlondJedi: Merkel eint das Land. Ostdeutsche Städte werden bald ähnlich befremdliche Innenstädte haben,  wie westdeutsche. ",positive
"@MalteKaufmann @krippmarie Die moralische Diktatur der vermeintlich ""anständigen"" Demokraten ist der Versuch, die e… https://t.co/eW97KuuzBx",negative
"RT @KrahMax: #Jamaica bringt die #AfD über 20%, denn dann wird die völlige Profillosigkeit der #CDU offenbar. https://t.co/HoquVjI86U",neutral
@claudia_kade @welt Frau Merkel und Ihre Regierung ist verfassungsfeindlich.Diese Anti-Volkspolitik muss endlich ei… https://t.co/GqJ1CeIuX8,negative
"Heilbronner Stimme: Landes-SPD: 400 Neueintritte seit der Bundestagswahl ""Wir… https://t.co/v8dIRY5El1 Presseportal",positive
"RT @NWHannover: Wahltrümmer 2017: Ein aufgeblasener Würseling, eine abgemerkelte Kanzlerin… https://t.co/NQOTzeUydj https://t.co/W71CK7b3dh",negative
RT @DoraBromberger: Nach den Protesten beim #TagderDeutschenEinheit in #Dresden darf heute ein handverlesenes Publikum #Merkel in… ,neutral
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
RT @MFeldenkirchen: Mannomannomann,neutral
Ein paar Sätze zur Rezeption meiner Titelgeschichte über den Wahlkampf von Martin Schulz. ,neutral
RT @antifanordost: Heute sind wir beim Irie Révoltés-Konzert im #Astra #Berlin. Wir Informieren über aktuelle antifaschistische Protes… ,neutral
"RT @beton_finger: Merkel aus der Tonne. Ich will dem Redepult Designer nix unterstellen. Aber hey, gut gemacht. https://t.co/K2fWbJecVK",positive
#TagderDeutschenEinheit https://t.co/em0y4z8Iu1,negative
"RT @bo_bonn: Ich habe nie in der DDR gelebt, aber das muss das SED feeling wovon die Leute immer sprechen! Schäm dich #Merkel… ",negative
"RT @WMuhsal: Ich bin zwar „im Westen“ geboren und aufgewachsen, aber seit 2005 in Thüringen beheimatet. Weiterlesen:… ",neutral
"@ShakRiet @PilgramsWords Ist es sensibles Material, wenn jemand in der BRD 2017 fotografiert, dass das sog. Einheit… https://t.co/hkESG7qPel",negative
@imparatorNeronn @SteinbachErika Ein so selten dummen Kommentar gelesen! In ein paar Jahren ist die #AfD Regierungs… https://t.co/NiImCknpXR,negative
"#blob poi però la Merkel e tutti gli altri vogliono da noi austerity, e loro chiudono i confini  INFAMI",negative
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
@faznet Wie die deutsche Fahrzeugindustrie gemeinsam mit der Politik der Kanzlerin Merkel an der Spitze weltweit di… https://t.co/ccyiSyXhLg,positive
RT @ShakRiet: Das ist sogar der wegeilenden #Merkel zu peinlich: Hingestellte Jubelbürger mit Winkelementen grüßen zum #tdde2017.,neutral
RT @Artaxerxessa: #Auslandspresse lesen! Das Ausmaß der Zerrüttung unserer Demokratie wird in der Schweiz analysiert &amp; beschrieben: https:/…,neutral
"RT @Frank_Pasemann: Dänischer Premierminister Rasmussen gibt offen zu, dass Muslime bereits Teile des Landes beherrschen! #AfD",positive
Noch 1. Stimme dazu ! https://t.co/XWh1Z9x87q,positive
RT @DoraBromberger: Nach den Protesten beim #TagderDeutschenEinheit in #Dresden darf heute ein handverlesenes Publikum #Merkel in… ,neutral
"Finger weg von unseren Senioren. Finger weg von unseren Kindern.  usw. usw, https://t.co/l9JsVJNwlp",negative
@harold_cagle @Hariton_J @CONTENTINOPLE @CrusaderAthena Merkel is the leader of our conservative party. She is not… https://t.co/ntQkaNdapl,positive
RT @merdeux_: Schaut es Euch an Ihr deutschen Gutmenschen. Diese Idiotie wird auch Euere Stadt übernehmen. https://t.co/8gxEsDoF1T,negative
"RT @DoraBromberger: Hülya Iri, Integrationsmanagerin von #Hannover und #SPD Ratsfrau droht: ",neutral
„Wenn Sie weiterhin mit der #AfD zusammena… ,neutral
RT @MalteKaufmann: What goes up - must come down.  ,neutral
Inzw. sind alle #AfD-Plakate wieder unten. Einen Teil haben wie erst einmal eingel… ,negative
RT @dushanwegner: Merkel lässt ihr Image mit gecasteten Jubeldeutschen künstlich beatmen. Bald bereist sie das Land &amp; man stellt bunt… ,negative
RT @Kittypunk7: Abgeschirmt von 7.400 Polizisten .. Dann klappt das auch ohne Volk. Mit auserlesenen Klatschstatisten. https://t.co/HwAjkEt…,negative
Das sind fünf Punkte die eigentlich JEDER klardenkende Deutsche unterschreiben müsste.,neutral
"Hallo ihr GRÜNEN, unterschre… https://t.co/vvYTx0lJO2",neutral
RT @HarrySchloemer: Die Macher dieses Blättchens brauchen diese Hetze für ihr Ego...Die AfD ist halt das Feindbild der Systempresse https:/…,negative
"RT @dkp_media: Nein, ihr seid drittstärkste Partei geworden weil ihr die Gesellschaft spaltet und die schwachen gegen die noch sch… ",negative
@Hartes_Geld So sollte auch in DE sein gegen Merkel und Schergen. Aber die Deutschen müssten zuerst Ungehorsamkeit lernen!,negative
RT @_Demokratie: @welt Bin ostdeutsch. Top3%-Verdiener. Promoviert. Führungsposition.  Wissenschaftlich in meinem Gebiet führend. In… ,neutral
RT @WMuhsal: 50 % #AfD in Karlsdorf in meinem Kreisverband – bestes Ergebnis der AfD in #Thüringen. Danke!… ,positive
Frauke #Petry verlässt die #AfD #Fraktion - #Bundespressekonferenz #btw17 - 1507054443 https://t.co/SITItFYtS1,neutral
"RT @mathieuvonrohr: Martin-Schulz-Story im @DerSPIEGEL ist wie ein Rorschach-Test. Sag mir, was Du darin liest, und ich sag Dir, wer Du bis…",neutral
"Es sollte uns nicht wundern, wenn Frau #Merkel parallel auch noch mit der #AfD in Koalitionsverhandlungen eintritt. https://t.co/0dq1pms7Bf",negative
